Regime,Days,Pct_Days,Mean_VIX,Std_VIX,Mean_EqWt_Ret,Std_EqWt_Ret
Calm,3795,68.57607517166606,14.762387351085074,2.5743121068678128,0.2701767742898342,0.10195973047145378
Transitional,1292,23.346584748825443,23.850990707291167,2.644266032326069,-0.08784141242029314,0.19250336377250774
Crisis,447,8.077340079508492,40.68890383419574,11.23294505076185,-0.900007502009405,0.4556479623992098
