Regime,N Days,Ann. Mean Return (%),Ann. Volatility (%),Sharpe Ratio
Calm,2302,27.330178904239954,9.239444851280961,2.9579892887667256
Transitional,2220,-0.19606008372050843,19.48156825507013,-0.010063875821161536
Crisis,507,-36.85882451293974,40.88632906723446,-0.9014950804785679
