Date,SPY B&H,EW 1/N,Static MVP,Static TPF,VIX-MVP,VIX-TPF,HMM-MVP,HMM-TPF,ML-MVP,ML-TPF
2007-01-12,0.007372126537078757,0.004290524022676899,-0.0014427513626684239,-0.003674256847385346,-0.0010443932664972,-0.0031229168611026257,-0.0014427513626684239,-0.003674256847385346,0.0007371222390629053,0.0036643207621064565
2007-01-16,-0.0021533770108120953,0.0006771848112786184,0.00106401407490763,0.0023578737155798748,0.0009784134028203578,0.0027372476324846414,0.00106401407490763,0.0023578737155798748,0.0012226099007642147,0.0005752045715246443
2007-01-17,0.00022174613203785538,0.0009807640774585687,0.0035626292021418014,0.0015433652187875479,0.003674274345171747,-0.0007381961868722382,0.0035626292021418014,0.0015433652187875479,0.0035259384532006647,0.0035803262621691176
2007-01-18,-0.0035596125353075272,-0.0031954039951496804,-0.0006808528614331603,0.0009258439910819609,-0.0006198425519633925,-0.001839662988437621,-0.0006808528614331603,0.0009258439910819609,-0.0002137890030207476,-0.004079908444232111
2007-01-19,0.0017644028911853098,0.004920526873301429,0.0016237873094485046,0.00026365211385619586,0.0017961862036331526,0.0013959924077427163,0.0016237873094485046,0.00026365211385619586,0.0019566449480784604,0.006216978608280631
2007-01-22,-0.003284063375170509,-0.0057809474291117425,-0.00252929602814794,-0.002650718836211057,-0.0026551283496970787,-0.0014401136022039243,-0.00252929602814794,-0.002650718836211057,-0.00396193680358081,-0.006633771398760986
2007-01-23,0.0027473956326747044,0.005947612948505824,0.0017233776331930034,0.0037571653561694535,0.0016807492279078222,0.0021158636704680044,0.0017233776331930034,0.0037571653561694535,0.0023411673879150693,0.012864952227967009
2007-01-24,0.007822715815642468,0.006286509865178963,0.004340959074195675,0.0033894148742292804,0.004440848009563531,0.006698353830474234,0.004340959074195675,0.0033894148742292804,0.004190480396491642,0.0007636939444159329
2007-01-25,-0.012007906638690778,-0.009429772638672779,-0.005179951634613828,-0.007469018809948631,-0.005346390329742356,-0.00977434534646242,-0.005179951634613828,-0.007469018809948631,-0.006616286039161032,-0.007782358719278244
2007-01-26,-0.0011124928530101567,-0.0018939777823355193,-0.003308650675774997,-0.003489535587996182,-0.003330930903238606,-0.0007190899444776836,-0.003308650675774997,-0.003489535587996182,-0.003611282539664199,-0.0021092609722288347
2007-01-29,-0.0007611392729030311,-0.00021250024852258417,0.00136621191948172,0.002680923157804068,0.0012331464258373186,-0.0011589262569814969,0.00136621191948172,0.002680923157804068,0.0009433844770893213,0.0006688805872184697
2007-01-30,0.004998028617023394,0.004485301202100143,0.0019235541454743687,0.0016696107243077572,0.0021294289472643785,0.003203432820591434,0.0019235541454743687,0.0016696107243077572,0.0026882822388948568,0.005450031083564911
2007-01-31,0.00650282613283429,0.006688568177666202,0.003921218644021481,0.005589703221446486,0.003956001746800326,0.006298336287825078,0.003921218644021481,0.005589703221446486,0.005184821683939695,0.007967418639928609
2007-02-01,0.005766762887613927,0.005427417793360208,0.005662404100105362,0.005324479170142472,0.005660324981403706,0.00666721536712691,0.005662404100105362,0.005324479170142472,0.005759936237816928,0.00715178227670157
2007-02-02,0.0011836083924781637,0.0023411349106722467,0.0016695301489174895,0.0033472156338053235,0.0015744697922327273,0.0031060939598463043,0.0016695301489174895,0.0033472156338053235,0.0015139845444505852,0.004617001814960954
2007-02-05,7.818624350142321e-05,-0.00044242438009747933,0.0003264208194661488,0.0019970874801006648,0.00018294287893824124,0.0033231395108696215,0.0003264208194661488,0.0019970874801006648,-0.0002464681760506812,0.0039505332129914665
2007-02-06,7.706402683519371e-05,0.0011082724269048387,-0.0005831585319567235,0.002583185943409682,-0.0007001015710504954,0.004517243254431873,-0.0005831585319567235,0.002583185943409682,-0.0006334983775077132,0.0009462094826054839
2007-02-07,0.0020073167147884106,0.0008225231771802311,-0.000412346876396521,0.002128232247318724,-0.0004336968754181119,0.003637362763360496,-0.000412346876396521,0.002128232247318724,-6.38923773602183e-05,-0.0007707531500763384
2007-02-08,-0.0015084888669215626,-0.0002604592503426081,-0.0006348738103987504,-0.0006555609749105553,-0.0005693874992136872,-0.0013587109137070405,-0.0006348738103987504,-0.0006555609749105553,-0.0008973217396317086,-6.272130559107046e-05
2007-02-09,-0.007674063211956716,-0.005157871058690562,-0.0010519389939442519,-0.002264696934556198,-0.0011852125958585371,-0.005434393040301726,-0.0010519389939442519,-0.002264696934556198,-0.0023886486107553913,-0.0017036411185609474
2007-02-12,-0.0036090780527943487,-0.0035347339637578656,-0.003650450902170651,-0.0038394734250269164,-0.0037717054723146646,-0.0033731300314845695,-0.003650450902170651,-0.0038394734250269164,-0.00390882836620027,-0.0041087743969645575
2007-02-13,0.00820034132449026,0.008500297120773194,0.004811154063926293,0.008671532956350448,0.00486524349186667,0.008873456696670062,0.00485944819305724,0.009430143607352443,0.005428291127247179,0.011172702555868809
2007-02-14,0.006346963690161216,0.007342925724704407,0.005656319916354641,0.0064190901252721266,0.005610266913006845,0.007246696103664695,0.005683795645000996,0.006617801997979109,0.005852318275834818,0.004859578063148282
2007-02-15,0.0011046730412041406,0.000906836125795991,0.001882944039495744,-0.005029141448234076,0.00187218517336233,-0.005504052408169651,0.0017827114916000638,-0.006349954141720728,0.0020369682633028813,-0.006675082829375162
2007-02-16,-0.000679809535322043,-0.001671509172655075,-0.00011351503504821783,0.0005657425233877538,-5.115396194521454e-05,0.0005493330303119742,6.288294343398253e-05,0.00053919866492663,-0.0007121579024761397,0.0002362480063291868
2007-02-20,0.0019252270995823934,0.002008226004303313,0.002743711800012216,0.0037559710863856884,0.00269996105089912,0.0034809483968907566,0.002852990244902554,0.0034188672897658904,0.002510065100535269,-0.0005608072692126815
2007-02-21,-0.0006109399413540037,-0.0006783998695255107,-0.004715929667565555,-0.003616214810444033,-0.004628981916233637,-0.0033597819668710126,-0.004723144172110806,-0.0029632926789863183,-0.0038571959595851838,0.0011414801958523056
2007-02-22,-0.0009541302999807321,-0.00011744794021967551,-0.0018762492805631072,0.00012898253836792685,-0.0018375633932024695,-7.636464577255487e-05,-0.0018917340123296678,0.0006995166851167362,-0.0017458740430054496,0.0029464469885956963
2007-02-23,-0.004115017054555758,-0.0002938529020328404,0.0015662519963610766,0.00779801766577328,0.0015987315544010873,0.006450131613109748,0.0018267357050746969,0.009468829259193325,0.0004930506061662572,0.007806493972354112
2007-02-26,-0.0010951148075180339,0.0018143773733818125,0.005877456517506626,0.015546973173044003,0.0057734611486545614,0.015889884518808146,0.0059652208668992445,0.019585123974307745,0.0035785742171416182,0.016578045094534512
2007-02-27,-0.04003924684979871,-0.03635989470049481,-0.028797268423862998,-0.03652529439697308,-0.028756626714010088,-0.03977783907876431,-0.028691363222324892,-0.03771558755274086,-0.029777807182175743,-0.038814479099645326
2007-02-28,0.01000056834935172,0.005406962839787457,0.004589589731829608,0.007505683565904828,0.004510734204276135,0.010469241867064442,0.004502702370689275,0.008162890870419595,0.004296613180890762,0.007005129317392648
2007-03-01,-0.0031824751562821037,-0.0019740629287887316,0.00034586858032736536,0.0007943920876554835,0.0003901644859685357,0.0013589006957631879,0.000561575228631574,0.0014210245487432229,-0.0007494354511847887,0.00019268628284077943
2007-03-02,-0.013379062417209764,-0.013424876928707178,-0.014030525550956376,-0.014515683955687737,-0.014088735698320075,-0.015124615190992632,-0.014238622403407565,-0.015510745971889927,-0.0130453949650375,-0.014959638605517144
2007-03-05,-0.009761446199959722,-0.008621933748498492,-0.006322797078543724,-0.012575678540664036,-0.006321940032530095,-0.013572589164580793,-0.006362754406772706,-0.013002743699953046,-0.006742968434449541,-0.01269198628137587
2007-03-06,0.01676779397870113,0.014953588289010987,0.010102050272034953,0.01502440244595017,0.01011057501620877,0.01626626320543208,0.01008672062965811,0.015434197822661724,0.010919301242059762,0.01640448824991088
2007-03-07,-0.001199081769898942,-0.002626112539950781,-0.0021138183618537856,-0.0024239500440097366,-0.0020583394480932445,-0.003315704922239473,-0.002215247590075607,-0.002617266029303473,-0.0016165632938772378,0.0012037591392854803
2007-03-08,0.008223040595170091,0.007454546032038753,0.00661617580488869,0.006047011788694338,0.0067029373780451845,0.006224715497344865,0.006765527941122348,0.005807153802881488,0.006618623056109761,0.006613064399539516
2007-03-09,8.742284399951015e-05,0.002402024782545378,0.0014532295377698787,0.00028281590303341726,0.0014294145212445412,0.0005094672036529346,0.0014371618806721675,0.0004189169310730654,0.0015787556694063498,-0.0005390597022576698
2007-03-12,0.0012945546253602031,0.002292837526497085,0.0024551772400596894,0.0068429684340604,0.00240934801070365,0.007114166281303624,0.0025683785081689107,0.00817946508272254,0.0018419083840164805,0.005731422612024076
2007-03-13,-0.019821171901991407,-0.01900791343584581,-0.017329621394672468,-0.015734522367725757,-0.017349688846414617,-0.018111662454764865,-0.01735968449295614,-0.01552429099223258,-0.01735839798183193,-0.015281466642640953
2007-03-14,0.007227482931876077,0.004487918784679983,0.0031968706521034564,0.003566940098730469,0.0032235832961953702,0.00438905157510596,0.003169350398207856,0.004577812637591349,0.0030088443439654096,0.0067035161677680265
2007-03-15,0.0011688518624895941,0.006718453264096037,0.00932921520892701,0.01272972104807381,0.009410431639890063,0.013156889289825646,0.01027635030736121,0.009023259914245844,0.009380985998220263,0.01151515063894045
2007-03-16,-0.0029977130208374433,-0.0034731949198863257,-0.0021982074415090053,-0.003947877374241095,-0.0024095911916719105,-0.004247861118167945,-0.0025397815633007442,-0.0039084068776927055,-0.0023912586957902187,-0.0029276362540462193
2007-03-19,0.011788762668287647,0.009462441489996455,0.007023745941893436,0.007584177695702557,0.00713682180188786,0.008062208022357244,0.005481536677897182,0.006969977508343793,0.007090255371178064,0.006340260833489963
2007-03-20,0.005282252160899672,0.007111004929003583,0.008793600453154334,0.013481583273720227,0.008964347721274893,0.012831407578924797,0.008453061038413479,0.011241377254242497,0.009027995949900846,0.009337790220302209
2007-03-21,0.016128757631315143,0.014487235685892007,0.010005030458052963,0.01143615100300626,0.010134331541877305,0.011413951843805864,0.008116263357132886,0.010436183203559051,0.010094875925551076,0.009248014777781192
2007-03-22,-0.0009633209688153403,0.0011150788912891656,0.003768950331945628,-0.0014590542357625453,0.003884848879674306,-0.0016971225160474575,0.003300849188367396,0.001316725763178376,0.0037795572131839907,0.0046802343263448514
2007-03-23,0.0012704537793698692,0.001591677997462011,0.0006557205337647785,0.00454341757254059,0.0008599919246198042,0.00450598954776537,0.001973668650539611,0.003920091661915014,0.0008658535169069803,0.002046743835973742
2007-03-26,-0.001521878052555828,-0.000675772716245883,-0.0029701885889248164,0.004252976691870702,-0.002706208952142829,0.004431497093945263,-0.004862401039599575,0.0037537702806983426,-0.002720362862450108,-0.007313287689912499
2007-03-27,-0.0025727305223099232,-0.00452406038726595,-0.004760975896599266,-0.002347601622902247,-0.004569794254727619,-0.0029553281359964057,-0.0036857192398025377,-0.001070281310809079,-0.004579301076956033,-0.00471683788292513
2007-03-28,-0.007501033533465443,-0.007362300226369701,-0.0034105879958680504,-0.0027519150700625857,-0.0032784981217014427,-0.0032669614043622547,-0.0018216872025165211,-0.0016633894386123887,-0.0032673447047386743,-0.0020845872728362225
2007-03-29,0.0008627659568924326,0.004204399667653278,0.005201870108073265,0.005688106167652564,0.005249033456470301,0.005810931904077657,0.004648472250981013,0.004777235849974484,0.0052602187542904666,0.005464332580706096
2007-03-30,1.6811595586898036e-05,-0.0021676356553406192,-0.0007760725166808044,-0.009634144761559263,-0.001186207617752962,-0.008856829731600898,0.0005852063423603175,-0.009297106386478184,-0.0011681769547045675,0.0024358640436495933
2007-04-02,0.0009312626118189314,0.004472932992706043,0.006558411176850091,0.02180634524326197,0.007028209104922811,0.020272258286205425,0.004469143579286397,0.01837745951375354,0.007118166039493482,0.002428923610139651
2007-04-03,0.010510513337563827,0.008182662798403618,0.006594025851447267,0.0016881735150233044,0.006412492805688761,0.0022971365361847303,0.004945741426246097,0.0014387666733559938,0.006374968787893523,0.006519022121074236
2007-04-04,0.0009182538347069118,0.0007152984136338187,0.003089802282897142,-0.0042148637470669804,0.0028802416248559183,-0.0038303900890422657,0.0026209356692429753,-0.0032544312208858867,0.0028550902069880706,0.004256809424257276
2007-04-05,0.002512975689818323,0.0036502236507856512,0.003920900617639828,0.003843888699392157,0.003929436446535053,0.0034761102396487515,0.0022757051352259553,0.0038340926567255267,0.003912543920427198,0.002392854825709657
2007-04-09,0.0011920224089735224,0.0014027232074440706,-0.0005094217555524277,0.007692619540978303,-0.00038276059340795824,0.008198237885023123,-0.0012160935967619664,0.004837523954348654,-0.0003235455032645067,-0.0027809500721306816
2007-04-10,0.0009825732955580143,0.0015645736074650827,0.0032344901919293258,-0.0007290295030820077,0.003357123944708951,-0.0014551288418205954,0.0033737745975586137,0.001695140942643351,0.0032923995340502906,0.004606450599606295
2007-04-11,-0.0042818201337697735,-0.00611225838653725,-0.005550073817618847,-0.0027706538791381296,-0.005510051026889893,-0.002897073816798383,-0.005324596231692504,-0.0026497618054770467,-0.005496362067402838,-0.006846422563215535
